timestamp,regime
2025-10-10 18:21:00+00:00,high risk
2025-10-14 14:15:00+00:00,high risk
2025-10-15 17:38:00+00:00,high risk
2025-10-16 18:04:00+00:00,high risk
2025-10-17 16:15:00+00:00,high risk
2025-10-31 13:51:00+00:00,high risk
2025-11-06 17:48:00+00:00,high risk
2025-11-07 19:46:00+00:00,high risk
2025-11-13 20:17:00+00:00,high risk
2025-11-14 19:19:00+00:00,high risk
2025-11-17 21:00:00+00:00,high risk
2025-11-18 18:03:00+00:00,high risk
2025-11-19 18:07:00+00:00,high risk
2025-11-20 17:05:00+00:00,high risk
2025-11-20 20:38:00+00:00,high risk
2025-11-21 18:19:00+00:00,high risk
2025-11-25 16:10:00+00:00,high risk
2025-12-15 14:51:00+00:00,high risk
2025-12-16 18:47:00+00:00,high risk
2025-12-18 17:56:00+00:00,high risk
2026-01-21 17:25:00+00:00,high risk
2026-01-30 15:55:00+00:00,high risk
2026-02-03 19:12:00+00:00,high risk
2026-02-04 18:37:00+00:00,high risk
2026-02-05 17:00:00+00:00,high risk
2026-02-11 17:35:00+00:00,high risk
2026-02-13 14:44:00+00:00,high risk
2026-02-17 14:49:00+00:00,high risk
2026-02-19 15:04:00+00:00,high risk
2026-02-20 16:24:00+00:00,high risk
